,brand,model,variant,year,price,fuel_type,transmission,km_driven,ownership,body_type,city_id,car_age,price_segment
627,Maruti,Vitara Brezza,ZXI AT SHVS,2020,685000,Petrol,Automatic,68433,2,SUV,3686,6,Mid-Range
628,Maruti,XL6,ALPHA MT,2021,955000,Petrol,Manual,41522,2,SUV,3686,5,Premium
629,Maruti,Ertiga,ZXI,2014,400000,Petrol,Manual,122589,2,SUV,3686,12,Mid-Range
630,Maruti,Swift,ZDI PLUS,2018,599000,Diesel,Manual,99013,1,Hatchback,3686,8,Mid-Range
631,Maruti,Swift Dzire,ZXI,2015,495000,Petrol,Manual,54704,1,Sedan,3686,11,Mid-Range
632,Maruti,Swift,VXI,2023,573000,Petrol,Manual,61339,2,Hatchback,3686,3,Mid-Range
633,Maruti,Baleno,ALPHA PETROL 1.2,2019,543000,Petrol,Manual,78841,1,Hatchback,3686,7,Mid-Range
634,Maruti,Swift,VXI,2018,430000,Petrol,Manual,90388,1,Hatchback,3686,8,Mid-Range
635,Maruti,Vitara Brezza,VDI,2017,626000,Diesel,Manual,87252,2,SUV,3686,9,Mid-Range
636,Maruti,Ertiga,VXI SHVS,2021,782000,CNG,Manual,91708,4,SUV,3686,5,Premium
637,Maruti,Wagon R 1.0,VXI AMT,2017,334000,Petrol,Automatic,75481,2,Hatchback,3686,9,Mid-Range
638,Maruti,Eeco,5 STR WITH A/C+HTR,2017,304000,Petrol,Manual,49959,3,SUV,3686,9,Mid-Range
639,Maruti,Swift,VXi,2025,699000,Petrol,Manual,643,1,Hatchback,3686,1,Mid-Range
640,Maruti,Eeco,5 STR AC,2024,514000,Petrol,Manual,15207,1,SUV,3686,2,Mid-Range
641,Maruti,Baleno,ZETA PETROL 1.2,2017,452000,Petrol,Manual,79617,1,Hatchback,3686,9,Mid-Range
642,Maruti,Swift,ZDI AMT,2018,498000,Diesel,Automatic,103858,2,Hatchback,3686,8,Mid-Range
643,Maruti,Vitara Brezza,VDI,2018,665000,Diesel,Manual,86846,2,SUV,3686,8,Mid-Range
644,Maruti,Swift,VXI,2011,310000,Petrol,Manual,98913,2,Hatchback,3686,15,Mid-Range
645,Maruti,Baleno,ALPHA CVT PETROL 1.2,2020,660000,Petrol,Automatic,40917,1,Hatchback,3686,6,Mid-Range
646,Maruti,New Wagon-R,ZXI 1.2,2022,472000,Petrol,Manual,62354,1,Hatchback,3686,4,Mid-Range
647,Maruti,Baleno,ZETA PETROL 1.2,2021,518000,Petrol,Manual,116004,2,Hatchback,3686,5,Mid-Range
648,Maruti,New Wagon-R,VXI (O) 1.0,2021,392000,Petrol,Manual,59314,1,Hatchback,3686,5,Mid-Range
649,Maruti,New Wagon-R,LXI CNG (O) 1.0,2021,496000,CNG,Manual,20000,1,Hatchback,3686,5,Mid-Range
650,Maruti,Celerio,ZXI AMT (O),2017,365000,Petrol,Automatic,64147,1,Hatchback,3686,9,Mid-Range
651,Maruti,Celerio,ZXI AMT,2023,575000,Petrol,Automatic,13965,2,Hatchback,3686,3,Mid-Range
652,Maruti,New Wagon-R,ZXI 1.2,2019,419000,Petrol,Manual,24997,1,Hatchback,3686,7,Mid-Range
